author_username,posts,tokens_mentioned,kol_trust_score,user_id
aixbt_agent,90,71,6390,1852674305517342720
Tyler_Did_It,94,55,5170,40134343
Cointelegraph,49,31,1519,2207129125
S4mmyEth,46,31,1426,223921570
wals_eth,54,25,1350,1355075567054417920
waleswoosh,47,28,1316,1501997405755088900
DJM09068876,40,30,1200,1454669542211432452
chain_broker,35,30,1050,1355277334534909952
0xelonmoney,38,27,1026,1554827123491082241
layerggofficial,34,30,1020,1375601751013793797
spiking,35,29,1015,443520671
casperdefi,31,29,899,59555878
kucoincom,36,24,864,910110294625492992
jessepollak,47,18,846,18876842
rektmando,30,27,810,1357410364355395587
CryptoDiffer,28,28,784,963815487481303040
CoinbaseAssets,31,25,775,1422537905885442055
LunarCrush,27,27,729,988992203568562176
tokenterminal,28,26,728,1204315977720221696
lokithebird,33,22,726,1099790079294287872
BanklessHQ,26,26,676,1225557966142820354
camolNFT,37,17,629,1387820020403740674
Starknet_OG,30,20,600,1508030370696024067
BCheque1,26,23,598,1395727427935027201
0xGumshoe,26,23,598,1544712361457733632
73lV_,27,22,594,1342386913
beast_ico,29,20,580,1499585375534206980
BNBCHAIN,27,21,567,1052454006537314306
Ronin_Network,33,17,561,1481272552009969664
zacxbt,30,18,540,886765719391789057
phtevenstrong,28,19,532,330533467
BSCNheadlines,25,20,500,1457446997527445505
DegenerateNews,24,20,480,1505874016761831430
pet3rpan_,23,20,460,1001171600
bsc_daily,21,21,441,1358688239037546500
sjdedic,27,16,432,1600230048572792846
Defi0xJeff,21,20,420,1460252469745782790
CoinDesk,21,20,420,1333467482
chainlink,27,15,405,1530530365
Defi_Warhol,20,20,400,1649801130623352833
EthereumDenver,21,19,399,754438462141378560
MEXC_Official,20,19,380,978566222282444800
eli5_defi,20,19,380,1481568237624393730
milesdeutscher,20,19,380,1530033576
imho_nft,19,19,361,969165702635642880
pawnie_,20,18,360,1310604060618354691
CoinbaseDuck,21,17,357,1527096518175559681
CryptoWendyO,20,17,340,935742315389444096
DeFi_Dad,21,16,336,991745162274467840
cryptopunk7213,28,11,308,1025381906173583361
bitgetglobal,21,14,294,1098881129057112064
Xeer,21,14,294,46801378
